product_id,product,product_code_approx,category
62,Taxi and other local and commuter transportation services,MPS485300,
63,Air transportation,MPS488001,
64,Medicinal and pharmaceutical products,MPG325400,
65,Other health care goods,MPG334A05,
66,Personal soap,MPG325602,
67,Toiletry items and cosmetics,MPG325602,
68,Oral-hygiene products,MPG325602,
69,Personal care services,MPS812A09,
70,Sporting and exercise equipment,MPG339902,
71,Purchase of recreational vehicles and outboard motors,MPG336602,
72,"Other home entertainment equipment, parts and services",MPG334A01,
73,Traveller accommodation,MPS721100,
74,Travel tours,MPS48A004,
75,Video and audio subscription services,MPS517003,
76,Use of recreational facilities and services,MPS713A00,
77,Tuition fees,MPS610003,
78,"Other lessons, courses and education services",NGS611A00,
79,Newspapers,MPG511111,
80,Magazines and periodicals,MPG5111A1,
81,Beer served in licensed establishments,MPG312120,
82,Liquor served in licensed establishments,MPG3121A2,
83,Beer purchased from stores,MPG312120,
84,Wine purchased from stores,MPG3121A1,
85,Liquor purchased from stores,MPG3121A2,
86,Cigarettes,MPG312202,
87,Women's clothing,MPG31B001,
88,Men's clothing,MPG31B001,
89,Other fresh or frozen meat (excluding poultry),MPG311605,Food (Groceries)
90,Ham and bacon,MPG311605,Food (Groceries)
91,Other processed meat,MPG311605,Food (Groceries)
92,Fresh or frozen fish (including portions and fish sticks),MPG311700,Food (Groceries)
93,Cheese,MPG311502,Food (Groceries)
94,Other dairy products,MPG311503,Food (Groceries)
95,"Bread, rolls and buns",MPG311801,Food (Groceries)
96,Cookies and crackers,MPG311802,Food (Groceries)
97,Other bakery products,MPG311802,Food (Groceries)
98,Other fresh fruit,MPG111A10,Food (Groceries)
99,Fruit juices,MPG311401,Food (Groceries)
100,Other preserved fruit and fruit preparations,MPG311402,Food (Groceries)
101,Nuts and seeds,MPG111A10,Food (Groceries)
102,Other fresh vegetables,MPG111A08,Food (Groceries)
103,Frozen and dried vegetables,MPG311402,Food (Groceries)
104,Sugar and syrup,MPG311301,Food (Groceries)
105,Confectionery,MPG311303,Food (Groceries)
106,All other food preparations,MPG311909,Food (Groceries)
107,Food purchased from table-service restaurants,,
108,Food purchased from fast food and take-out restaurants,,
109,Other household cleaning products,,
110,Paper supplies,MPG322102,
111,Plastic and aluminum foil supplies,MPG326109,
112,Other household goods and services,,
113,Window coverings,MPG337902,
114,Bedding and other household textiles,MPG337901,
115,Cooking appliances,MPG335204,
116,Laundry and dishwashing appliances,MPG335204,
117,Other household appliances,MPG335204,
118,"Non-electric kitchen utensils, tableware and cookware",MPG332A01,
119,"Household tools (including lawn, garden and snow removal equipment)",MPG333101,
120,Men's footwear (excluding athletic),MPG31B005,
121,"Clothing accessories, watches and jewellery",MPG31B003,
122,"Passenger vehicle parts, accessories and supplies",MPG326107,
123,Passenger vehicle registration fees,MPS524103,
124,Drivers' licences,MPS524103,
125,"Rail, highway bus and other inter-city transportation",MPS48A001,
126,Eye care goods,,
127,Health care services,,
128,Other personal care supplies and equipment,MPG325602,
129,"Toys, games (excluding video games) and hobby supplies",MPG339903,
130,Photographic equipment and supplies,MPG334A01,
131,Recreational services,MPS713A00,
132,Audio equipment,MPG334A01,
133,Video equipment,MPG334A01,
134,Spectator entertainment (excluding video and audio subscription services),MPS71A003,
135,Books and reading material (excluding textbooks),MPG5111A2,
136,Rental of digital media,MPS532A09,
137,Food purchased from cafeterias and other restaurants,,
138,Other owned accommodation expenses,,Owned accommodation
139,Other furniture,MPG337102,
140,Other household equipment,MPG337102,
141,Children's footwear (excluding athletic),MPG31B005,
142,Digital computing equipment and devices,MPG334100,
143,Other recreational equipment,MPG334209,
144,"Fuel, parts and accessories for recreational vehicles",ENE324111,Energy
145,"Insurance, licences and other services for recreational vehicles",MPS524103,
146,School textbooks and supplies,MPG5111A2,
147,Wine served in licensed establishments,MPG3121A1,
148,Other tobacco products and smokers' supplies,MPG312202,
149,Leasing of passenger vehicles,MPS532100,
150,Purchase of digital media,MPS5121A1,
